"","OBJECTID","mun","semi_arido","newtipology","dens_mean","percent_medio_ab","IFDM_geral_2016","SNIS_G12A_2015","SNIS_G12B_2015","mediaciclo22","bioma_2014","grupo_SES_CRI_2014","ZK_incid_2016","ZK_incid_2017","ZK_incid_2018","ZK_incid_2019","chik_incid_2016","chik_incid_2017","chik_incid_2018","chik_incid_2019","dg_incid_2016","dg_incid_2017","dg_incid_2018","dg_incid_2019"
"269",269,"MUQUEM DE SAO FRANCISCO",0,3,3,100,"0.549869",11495,11495,4.75,1,"1",NA,NA,NA,NA,0,0,0,26.44,0,0,0,52.87
"270",270,"MURITIBA",0,5,354.36,94.71,"0.591953",30743,30743,4.75,3,"1",78.47,6.53,3.4,37.42,26.16,0,0,78.23,127.51,45.71,10.21,595.26
"271",271,"MUTUIPE",NA,3,83.08,97.66,"0.605265",22833,22833,3.25,1,"1",43.64,17.39,0,27,34.91,4.35,0,0,8.73,0,4.51,36
"272",272,"NAZARE",NA,5,105.7,100,"0.532264",29406,29406,2.75,1,"1",33.96,0,0,0,6.79,0,0,3.51,156.2,0,0,28.05
"273",273,"NILO PECANHA",NA,3,36.52,100,"0.527071",14188,NA,3.75,1,"1",140.07,0,0,0,105.05,0,7.19,0,168.08,0,7.19,107.17
"274",274,"NORDESTINA",0,3,29.12,100,"0.601317",13321,NA,3.75,3,"1",88.55,0,0,0,538.67,7.35,0,0,295.16,14.71,15.27,472.2
"275",275,"NOVA CANAA",0,3,21.27,100,"0.370561",17082,NA,2,3,"1",29.22,0,0,0,409.05,0,0,0,46.75,11.67,0,12.15
"276",276,"NOVA FATIMA",0,3,23.36,100,"0.609796",8125,NA,2,3,"3",0,1046.93,140.99,204.81,234.54,123.17,0,0,0,61.58,0,2470.56
"277",277,"NOVA IBIA",NA,3,34.5,100,"0.479504",7036,NA,5,1,"1",42.8,0,0,0,0,0,0,0,0,0,0,0
"278",278,"NOVA ITARANA",0,3,17.61,100,"0.524953",8312,NA,4.75,3,"1",1839.46,23.73,0,0,119.45,0,0,0,358.34,0,24.47,48.63
"279",279,"NOVA REDENCAO",0,3,16.78,100,"",9470,NA,4.25,3,"1",527.15,0,0,0,242.49,0,0,21.93,590.41,10.53,0,438.69
"280",280,"NOVA SOURE",0,3,28.13,78.14,"0.546229",25854,NA,2,3,"1",NA,NA,NA,NA,34.71,0,0,0,0,0,0,70.51
"281",281,"NOVA VICOSA",NA,5,33.16,93.6,"0.534519",43216,43216,1.75,1,"1",192.45,68.1,0,9.22,187.87,429.04,6.98,253.6,1370.05,869.43,18.63,343.51
